ANO4,AGLOMERADO,media,mediana,p25,p75,iqr
2016,13,859956.4197771475,703237.5,375060.0,1125180.0,750120.0
2016,32,1365470.005339799,1125180.0,750120.0,1781535.0,1031415.0
2017,13,895911.0262375891,750120.0,405064.8,1125180.0,720115.2
2017,32,1325100.116234816,1125180.0,718239.8999999999,1650264.0,932024.1000000001
2018,13,751408.6137185477,609853.6585365854,345583.73983739835,1016422.7642276422,670839.0243902439
2018,32,1141809.290074876,965601.6260162601,609853.6585365854,1448402.4390243902,838548.7804878048
2019,13,671855.4757798469,560479.9578059072,316506.32911392406,890174.0506329115,573667.7215189874
2019,32,1042429.4958852034,824235.2320675106,494541.1392405064,1318776.371308017,824235.2320675107
2020,13,639725.1017507843,543894.3778684344,286889.34217236104,884575.4716981133,597686.1295257523
2020,32,1075916.2643485258,932390.3620601734,549871.239163692,1338816.930137685,788945.690973993
2021,13,632849.8195929733,476690.3914590747,286014.23487544485,794483.9857651246,508469.7508896797
2021,32,1101852.1349747595,953380.7829181494,556138.7900355872,1430071.1743772242,873932.384341637
2022,13,559104.4593638709,450045.81551618816,245479.53573610264,695525.3512522908,450045.81551618816
2022,32,907798.8834170334,736438.6072083078,409132.55956017104,1227397.678680513,818265.119120342
2023,13,411925.48674004525,313875.25106003124,183093.89645168488,523125.4184333854,340031.5219817005
2023,32,670780.2698400578,523125.4184333854,287718.980138362,784688.127650078,496969.14751171606
2024,13,594270.8265930624,463500.8390462191,243947.81002432585,731843.4300729776,487895.6200486517
2024,32,1006468.0699884143,744040.8205741938,457402.14379561093,1219739.0501216291,762336.9063260183
2025,13,793293.152587626,650000.0,380000.0,1000000.0,620000.0
2025,32,1151938.044603494,900000.0,575000.0,1500000.0,925000.0
